Date,Open,High,Low,Close,Volume
2020-01-02,30.8393228198397,31.109767878911317,30.7869809766221,31.09231948852539,37614200
2020-01-03,30.51652941551094,30.664839038221483,30.32460049009947,30.446739196777344,50357900
2020-01-06,30.019265474139548,30.446742676519573,29.984368696814677,30.403120040893555,42185000
2020-01-07,30.27226242743384,30.46418804880377,30.123952786256286,30.202468872070312,34149000
2020-01-08,30.158843816173665,30.699730455397635,30.141395430658147,30.50780487060547,45311600
2020-01-09,30.79569454150569,30.821868783433896,30.48163026188092,30.56014633178711,39861600
2020-01-10,30.533976059646317,30.595043745530464,30.23736015909218,30.307153701782227,39730400
2020-01-13,30.394391964747765,30.59504340584497,30.23735982337791,30.586320877075195,37956100
2020-01-14,30.795696297537216,31.11848312425119,30.62994161958991,30.81314468383789,66719300
2020-01-15,30.333324233168774,30.35077261862089,29.958192265796423,30.246082305908203,74745500
2020-01-16,30.44674125387113,30.525257335213436,30.185018764103653,30.289709091186523,50368500
2020-01-17,30.464189887867718,30.490364136679073,30.185022305440576,30.280986785888672,54156100
2020-01-21,30.02798479794825,30.115226731944254,29.85350758583524,29.88840103149414,50811000
2020-01-22,29.984367595348488,30.054161147434385,29.8622322071379,29.975645065307617,38879700
2020-01-23,29.74009876406385,29.88840508003668,29.426034415015554,29.76626968383789,45717100
2020-01-24,29.766264777643535,29.783713163930297,29.024726664122735,29.26027488708496,47797200
2020-01-27,28.414046810731154,28.902591649044226,28.326808206147135,28.65831756591797,57096200
2020-01-28,28.806627213299148,29.216655976681768,28.745559524447195,28.99855613708496,38834600
2020-01-29,29.077066230473346,29.173027344684858,28.771724521091667,28.797895431518555,37414700
2020-01-30,28.527461051357733,29.242828293267248,28.501286806353505,29.207931518554688,50542800
2020-01-31,28.850252704650387,28.937491328027953,28.48384649293642,28.640878677368164,54845300
2020-02-03,28.789179033674856,29.13814011071337,28.719385487091362,28.76300811767578,48485500
2020-02-04,29.277726751118532,29.574342697348175,29.251552504609585,29.330068588256836,45061600
2020-02-05,29.748822541905653,30.36822873535971,29.722651621034387,30.280986785888672,54604800
2020-02-06,30.481630517602884,30.542698202715663,30.185014620795425,30.246082305908203,39511500
2020-02-07,29.94074802723617,30.237363965125912,29.87095780370078,30.193744659423828,31263000
2020-02-10,30.04544415989225,30.2635440826416,29.993102308314462,30.2635440826416,24373800
2020-02-11,30.403116558437603,30.568874567774436,30.324600482420017,30.33332633972168,32476300
2020-02-12,30.60377281475396,30.92655966372952,30.342050330133073,30.46418571472168,36656700
2020-02-13,30.32459456953632,30.560142751660383,30.141391537197215,30.455455780029297,31775100
2020-02-14,30.429294287857136,30.49908451456702,30.272262117835076,30.403120040893555,26447700
2020-02-18,30.33332297112872,30.385668125307202,29.670297663290995,29.897123336791992,40318000
